assetClass,assetTypeL1,assetFormL2,pricePoint,nrmLvl1,nrmLvl2,nrmLvl3,rcdcCostGfa,benchmarkedCostGfa
Location,-,-,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),-,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Car Parks,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Commercial,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Community Facilities,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Direct Infrastructure,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Education,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Hotels,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Indirect Infrastructure,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Industrial,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Refurbishment & Alteration,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Residential,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Residential,Multi-Family,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Residential,Single Family,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Retail,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Sports Facilities,-,0 - Facilitating Works,-,-,0,
Location,UAE (Abu Dhabi),Thematic,-,0 - Facilitating Works,-,-,0,
